DATE,PRICE_INR,RAINFALL_MM,MAX_TEMP_C,MIN_TEMP_C,MEAN_TEMP_C,HUMIDITY_PERCENT
2010-04-18,144,4.71,28.56,24.64,26.6,85.1
2010-04-19,82,0.56,28.49,24.58,26.54,84.49
2010-04-20,102,0.0,30.34,23.82,27.08,77.83
2010-04-21,102,0.28,30.51,24.15,27.33,76.24
2010-04-22,122,4.21,32.43,24.05,28.24,74.8
2010-04-23,122,2.96,32.45,24.47,28.46,75.62
2010-04-24,122,1.04,30.62,24.86,27.74,79.31
2010-04-25,164,0.1,31.7,24.54,28.12,75.85
2010-04-26,122,2.9,32.2,24.54,28.37,75.54
2010-04-27,122,2.94,32.02,24.78,28.4,75.61
2010-04-28,164,2.29,29.81,24.81,27.31,80.02
2010-04-29,164,0.24,32.08,24.76,28.42,74.92
2010-04-30,144,1.63,30.1,24.16,27.13,68.33
2010-05-01,204,0.08,31.88,23.78,27.83,66.83
2010-05-02,122,2.28,32.93,23.93,28.43,70.51
2010-05-03,82,0.1,33.5,24.4,28.95,70.65
2010-05-04,102,0.0,32.93,24.39,28.66,71.6
2010-05-05,102,0.0,32.22,24.56,28.39,72.79
2010-05-06,102,0.02,34.04,24.64,29.34,68.52
2010-05-07,102,20.14,32.48,25.12,28.8,76.93
2010-05-08,82,6.7,29.79,25.73,27.76,81.98
2010-05-09,82,0.97,31.02,25.56,28.29,80.61
2010-05-10,62,0.52,31.31,25.25,28.28,77.48
2010-05-11,82,18.33,27.98,24.88,26.43,87.06
2010-05-12,82,0.98,28.52,24.22,26.37,79.22
2010-05-13,102,0.0,31.3,24.76,28.03,77.57
2010-05-14,144,0.0,31.14,24.96,28.05,75.18
2010-05-15,304,0.0,31.39,25.07,28.23,77.5
2010-05-16,82,0.2,28.81,24.71,26.76,82.52
2010-05-17,62,0.15,30.8,24.64,27.72,75.17
2010-05-18,102,18.21,32.06,24.3,28.18,78.92
2010-05-19,204,18.56,28.38,25.6,26.99,86.67
2010-05-20,164,1.15,28.64,25.9,27.27,85.32
2010-05-21,184,1.72,28.7,25.68,27.19,85.46
2010-05-22,184,1.55,28.84,24.74,26.79,84.55
2010-05-23,304,0.61,29.38,25.14,27.26,83.98
2010-05-24,224,0.05,28.94,25.14,27.04,83.55
2010-05-25,404,0.25,27.9,25.32,26.61,85.79
2010-05-26,264,0.3,28.49,24.98,26.74,83.86
2010-05-27,284,0.04,29.43,24.81,27.12,82.89
2010-05-28,244,0.0,31.27,24.47,27.87,77.23
2010-05-29,164,0.23,30.07,25.23,27.65,81.18
2010-05-30,102,12.29,27.84,24.22,26.03,83.4
2010-05-31,70,8.1,28.22,24.26,26.24,83.87
2010-06-01,144,1.33,29.42,24.2,26.81,78.84
2010-06-02,82,3.87,30.49,23.97,27.23,80.21
2010-06-03,70,0.95,29.74,24.16,26.95,81.39
2010-06-04,70,5.44,31.74,24.26,28.0,78.09
2010-06-05,122,7.3,29.4,24.3,26.85,79.46
2010-06-06,62,9.57,29.09,23.47,26.28,78.89
2010-06-07,50,6.24,27.04,23.28,25.16,79.19
2010-06-08,62,4.47,28.77,23.03,25.9,79.93
2010-06-09,62,13.4,29.2,23.51,26.35,82.64
2010-06-10,50,3.61,29.51,23.89,26.7,83.81
2010-06-11,62,33.46,28.88,23.72,26.3,86.73
2010-06-12,70,46.83,27.08,24.2,25.64,88.71
2010-06-13,102,44.98,27.94,24.28,26.11,86.88
2010-06-14,82,87.14,27.22,23.86,25.54,87.34
2010-06-15,144,49.42,26.14,24.04,25.09,90.07
2010-06-16,82,44.67,27.84,24.2,26.02,89.4
2010-06-17,70,56.58,27.22,23.85,25.53,86.49
2010-06-18,102,25.47,27.5,24.02,25.76,88.67
2010-06-19,304,18.76,27.48,24.34,25.91,89.85
2010-06-20,102,2.66,27.44,23.86,25.65,87.73
2010-06-21,102,8.43,27.68,23.48,25.58,88.3
2010-06-22,82,42.12,27.33,23.61,25.47,89.7
2010-06-23,102,32.22,26.92,24.18,25.55,88.87
2010-06-24,164,64.33,26.22,23.96,25.09,91.63
2010-06-25,144,100.2,26.26,23.78,25.02,90.45
2010-06-26,144,54.63,27.31,24.54,25.92,91.39
2010-06-27,164,6.07,27.41,23.37,25.39,90.3
2010-06-28,144,14.16,28.21,23.85,26.03,89.74
2010-06-29,82,10.82,27.58,24.44,26.01,88.9
2010-06-30,70,16.48,26.98,23.76,25.37,90.77
2010-07-01,82,77.99,25.69,21.91,23.8,89.71
2010-07-02,164,24.7,24.74,22.6,23.67,90.6
2010-07-03,404,34.3,25.66,22.76,24.21,88.16
2010-07-04,324,84.28,26.27,22.81,24.54,91.67
2010-07-05,144,43.46,25.52,23.06,24.29,90.69
2010-07-06,144,41.19,25.71,22.75,24.23,91.4
2010-07-07,224,50.53,25.2,22.38,23.79,92.37
2010-07-08,184,10.47,26.36,21.68,24.02,87.38
2010-07-09,184,2.51,26.84,21.56,24.2,85.29
2010-07-10,204,3.59,28.08,22.54,25.31,86.88
2010-07-11,204,2.73,28.0,23.36,25.68,88.59
2010-07-12,244,3.54,26.5,23.16,24.83,90.85
2010-07-13,404,5.39,25.24,21.88,23.56,86.51
2010-07-14,404,9.07,25.4,22.12,23.76,88.82
2010-07-15,404,71.56,26.37,21.89,24.13,89.09
2010-07-16,404,57.76,25.72,22.46,24.09,92.07
2010-07-17,404,33.51,25.28,22.6,23.94,90.21
2010-07-18,164,48.84,25.72,23.26,24.49,90.87
2010-07-19,164,105.03,25.98,23.88,24.93,93.0
2010-07-20,102,86.52,25.41,23.69,24.55,92.88
2010-07-21,122,73.79,25.4,22.92,24.16,93.85
2010-07-22,204,29.51,25.34,22.66,24.0,92.28
2010-07-23,144,14.71,26.05,23.05,24.55,91.68
2010-07-24,184,38.22,25.28,23.51,24.4,92.64
2010-07-25,184,36.88,25.45,23.43,24.44,93.34
2010-07-26,184,33.63,25.46,23.3,24.38,91.79
2010-07-27,144,46.28,26.12,23.42,24.77,92.1
2010-07-28,144,47.5,25.56,23.33,24.44,93.57
2010-07-29,122,154.45,25.0,22.72,23.86,94.13
2010-07-30,244,120.53,25.1,22.58,23.84,92.82
2010-07-31,22,66.33,25.78,22.74,24.26,91.27
2010-08-01,144,18.09,25.96,22.76,24.36,90.68
2010-08-02,144,11.12,26.42,22.9,24.66,91.42
2010-08-03,122,18.68,25.56,23.3,24.43,93.49
2010-08-04,102,8.55,25.16,23.54,24.35,93.87
2010-08-05,204,6.48,26.33,22.97,24.65,91.29
2010-08-06,144,14.52,26.59,23.25,24.92,90.86
2010-08-07,122,14.93,26.2,23.6,24.9,92.08
2010-08-08,122,6.2,26.8,23.42,25.11,90.48
2010-08-09,144,1.19,27.14,22.76,24.95,88.41
2010-08-10,102,13.68,27.28,22.62,24.95,87.84
2010-08-11,102,14.06,26.87,23.27,25.07,89.28
