RELATIVE_DAY,EXTREME_HEAT,PROLONGED_RAIN,HEAVY_RAIN,EXTREME_HUMIDITY
-7,0.9478001999510562,1.330813152953261,-4.9235274430447316,-0.01166168457419841
-6,-1.502231832829355,-0.4139040547028857,-0.255445907445523,-2.4636150977831193
-5,-0.3082368893566771,-1.1980794348923138,-1.402145056032058,0.5881284902523096
-4,-0.21977219292557357,-0.8051201855135539,1.7145129533752137,0.08646919112974234
-3,1.0824407151605475,1.0862905221554973,4.866605453147096,1.8006791009752683
-2,3.7373042759023325,6.891928180843854,7.355237710691791,7.212687319076194
-1,4.177584313888854,10.743390506416423,12.537942865480863,11.070013812932022
0,3.98867595582946,14.298571328080678,17.98980087036698,17.90274408668299
1,5.63028300146899,17.987169068012317,22.203248668889557,23.046167259648666
2,3.7712429628713102,20.550601899785967,32.730615124402526,27.987876296980097
3,3.9796159207091453,23.330201838459512,34.025346706889366,31.937669342833935
4,6.2557925486386665,26.2658501392232,35.18130486704727,39.995351660295825
5,6.751660988212944,29.99096480328721,53.72698168477389,43.023875687523
6,9.192168895568729,33.526358507507055,55.59702826542808,42.51446400134736
7,12.129410075901728,36.907745529226816,54.58888235795906,44.84813560911031
